source_id,ra_gaia,dec_gaia,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc,absolute_g_mag,combined_obsid,combined_obsdate,combined_lmjd,combined_mjd,combined_planid,combined_spid,combined_fiberid,combined_class,combined_subclass,combined_z,ra_lamost,dec_lamost,feh,logg,rv,teff,coord_match_sep_arcsec,pm_total,tangential_velocity_kms,reduced_pm_g,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate,gal_l,gal_b,gal_l_astropy,gal_b_astropy,galcen_x_kpc,galcen_y_kpc,galcen_z_kpc,galcen_vx_kms,galcen_vy_kms,galcen_vz_kms,galcen_vtot_kms
3089803084812330368,123.5858697635784,1.280288191684941,1.3550370904395712,82.26929,-0.3449461995502572,0.2196581832828388,13.662231,0.73433876,1.068794,737.9871791373638,4.321987360304757,173006105,2013-10-31,56597,56596,GAC121N02V1,6,105,STAR,G2,7.49185e-05,123.58587,1.2802878,-0.439,4.278,22.46,5940.15,0.001646913876107,0.4089469379605171,1.4306624554201794,1.7205662488464029,solar_like,False,False,False,221.53414046326503,18.970508884799433,221.53414046326506,18.97050888479941,-8.643781712494933,-0.4627565315841798,0.26204161892832933,-3.9804506263291097,232.30111870252261,14.464948642233539,232.78506927390038
3090685683412224256,121.88392107782352,1.7445364548407654,0.1364197745068915,7.0096955,-1.741047732123555,0.0129363167954579,14.192523,1.1265078,1.0235369,7330.315591083773,-0.1330903607010292,869904081,2020-12-19,59203,59202,HD080547N020954B01,4,81,STAR,G5,0.0003220561,121.8839217,1.7445364,-0.476,2.4,96.55,4922.4,0.0022474852952104,1.7410957911111054,60.5015834011037,5.3966363309467695,solar_like,False,False,False,220.25727491677588,17.68946456368278,220.2572749167759,17.689464563682787,-13.445887240963236,-4.513023367968417,2.261801516807388,-88.2909896258776,197.6701897108869,-13.325963945709654,216.90178437379717
3083676090627788288,121.84743989264872,0.2776116701503619,0.5235684121615011,35.36541,-2.6567235224406427,1.8835105559839709,12.664207,1.156867,0.9903272,1909.970076062453,1.2590746429453006,173001110,2013-10-31,56597,56596,GAC121N02V1,1,110,STAR,G5,0.0002302927,121.84744,0.2776124,-0.126,3.166,69.04,4955.96,0.0026557278925409,3.256653480060853,29.48624814642563,5.228065210940365,solar_like,False,False,False,221.59378332675112,16.964606459244077,221.59378332675112,16.964606459244088,-9.486796197708015,-1.2127502770220795,0.5815861405377507,-56.86588413226336,219.00410622768715,15.612014139367117,226.8044583076353
3083712438932111488,122.45501065642476,0.252452748656727,0.6735503512885365,27.477602,-1.3306283305843536,-1.5227667993912106,13.710716,0.6303549,1.155529,1484.669999929402,2.852566582444579,173007229,2013-10-31,56597,56596,GAC121N02V1,7,229,STAR,F5,7.80206e-05,122.45501,0.2524531,0.018,4.108,23.39,6621.09,0.0026803134542255,2.0222241417513183,14.232481445386824,5.239862701486379,solar_like,False,False,False,221.9197135220322,17.486960611835165,221.91971352203223,17.486960611835176,-9.174490700959016,-0.946050898960276,0.46962063804490844,-3.385559830335007,224.32888670110177,2.1252720891725603,224.36449854059697
3084883801071606528,120.9887075859534,1.8187659164363164,0.5788443374224573,21.939972,-1.4095570733021283,1.102853982436688,14.830486,0.6772051,1.0690912,1727.5801719904723,3.643295243294777,869904137,2020-12-19,59203,59202,HD080547N020954B01,4,137,STAR,F5,0.0002691195,120.988708,1.818767,-0.208,4.18,80.68,6292.3,0.0041756464480657,1.789731278564613,14.657079434993593,6.094425438547471,solar_like,False,False,False,219.749787522764,16.933549284178053,219.749787522764,16.93354928417807,-9.391334062753081,-1.0567815041346542,0.5272282032258294,-56.29071489034493,205.41845566709384,25.729397972146216,214.53994600430238
3090881671361507968,121.58808099796028,1.913687707230858,1.2235585511522482,69.65512,2.777371824405221,0.7436349287423598,12.779362,0.6846037,1.0675318,817.2882278974563,3.217485507611741,334204119,2015-03-17,57099,57098,HD080547N020954V01,4,119,STAR,F7,-8.41582e-05,121.58808,1.913687,-0.322,4.249,-25.23,6231.23,0.0044017115913067,2.875202107373608,11.139482717117149,5.072703615254932,solar_like,False,False,False,219.9551688691017,17.50747740877666,219.9551688691017,17.507477408776655,-8.71881209312882,-0.5005401296664488,0.2681927242230369,35.45281159708219,261.24229404347494,10.487457404306634,263.8454562997869
3084306484448957952,120.06976943449531,0.5122979093192555,0.4967537520395328,37.262444,-4.41111820647814,-1.4289130417451057,12.584332,1.3908243,0.9269877,2013.069847775237,1.0650382464832795,173002028,2013-10-31,56597,56596,GAC121N02V1,2,28,STAR,G5,0.0002205526,120.06977,0.5122992,0.149,2.78,66.12,4483.33,0.005072841709346,4.636782970162844,44.248343321659696,5.915416309776925,solar_like,False,False,False,220.502705640605,15.509363007696589,220.502705640605,15.509363007696598,-9.595543225286951,-1.2598472692097522,0.5628580600341758,-49.52027933768829,202.5753253947317,-16.352069370977713,209.18033056952888
3090633044293452416,122.7873287648428,1.6188204530948729,1.197196845064698,56.44384,0.4907058029337362,-0.4491913110151123,13.4134655,0.7738724,0.95638496,835.2845266193118,3.8042933183130945,122406231,2013-02-18,56342,56341,GAC121N02V1,6,231,STAR,G2,1.55107e-05,122.78733,1.6188197,0.022,4.174,4.65,5908.87,0.005206386242484,0.665255604203616,2.634173525481258,2.528408208850788,solar_like,False,False,False,220.8206230125773,18.42729023655768,220.8206230125773,18.42729023655768,-8.720994775021161,-0.518022652780493,0.28636754940453407,11.400865071509815,241.016800307792,10.083963230363484,241.4969235195682
3089766079373965568,123.13342176149963,0.9388491485232104,0.3212034153904874,10.522884,-2.7477961720717765,-0.3452131711808681,15.1279125,0.6303339,0.99569094,3113.2919268131022,2.6618132940181276,21202020,2011-12-25,55921,55920,F5592103,2,20,STAR,F3,0.0001344263,123.1334232,0.9388501,-0.264,4.204,40.3,6512.49,0.0062083415012029,2.769396312702294,40.87204403638056,7.339838069508417,solar_like,False,False,False,221.6245590575225,18.410262016477585,221.6245590575225,18.410262016477596,-10.327570153187228,-1.9621521946338716,1.009682298123484,-34.56081660297536,223.26163039297518,-15.52412927112679,226.45353660214852
3089728352380261248,124.7056230549869,1.5178819028577055,1.5127799655405156,91.30561,0.0101099730983599,0.4068997205736788,12.648555,0.7696066,1.0514305,661.0346664940796,3.547433623481677,796110037,2020-01-26,58875,58874,HD082620N022924V02,10,37,STAR,G2,0.0001553408,124.705623,1.517884,-0.15,4.282,46.57,5958.96,0.0075523051474505,0.4070252991633167,1.2754605850661975,0.6966618228281227,solar_like,False,False,False,221.87683197943005,20.068337025333552,221.87683197943005,20.06833702533354,-8.583701820484803,-0.41446976489982434,0.24880982154906695,-20.203641083817047,217.36966345725943,24.44099473919931,219.67048032998767
